Update Id,Revision Number,Title,KB Articles,Security Bulletin,Has Superseded Updates,Creation Date,Declined Reason
6197ee55-0a7b-4df9-90a7-58e91b80a481,201,"Feature update to Windows 10 (business editions), version 2004, en-gb arm64",3012973,,True,11/09/2020 18:00:05,Windows 10 Edition
c475c834-c4d6-42ef-b0af-2939fcd12871,200,"2020-11 Cumulative Update for Windows 10 Version 2004 for x86-based Systems (KB4586781)",4586781,,True,11/10/2020 18:00:06,Superseded
9ccd36c2-abdc-4006-89dd-dcd544a0c99f,200,"2020-11 Servicing Stack Update for Windows 10 Version 1909 for ARM64-based Systems (KB4586863)",4586863,,True,11/10/2020 18:00:06,Superseded
8e9e9f2d-448e-46ba-a14d-6f42d5c6fd0d,200,"2020-11 Cumulative Update for Windows 10 Version 20H2 for x86-based Systems (KB4586781)",4586781,,True,11/10/2020 18:00:06,Superseded
8088355e-3873-4912-a85e-32d67df681af,200,"2020-11 Cumulative Update for Windows 10 Version 2004 for x64-based Systems (KB4586781)",4586781,,True,11/10/2020 18:00:06,Superseded
9b7acdbd-7ad4-4388-a18a-beb42d091d87,200,"2020-11 Cumulative Update for Windows 10 Version 20H2 for x64-based Systems (KB4586781)",4586781,,True,11/10/2020 18:00:06,Superseded
05850bde-919a-485f-8e61-972b2f5507bd,200,"2020-11 Servicing Stack Update for Windows 10 Version 1909 for x86-based Systems (KB4586863)",4586863,,True,11/10/2020 18:00:06,Superseded
d91207ed-295f-4aca-abed-8a68a91c2194,200,"2020-12 Servicing Stack Update for Windows 10 Version 2004 for x86-based Systems (KB4593175)",4593175,,True,12/08/2020 18:00:06,Superseded
260881b5-3d2b-403e-938d-f0e2ff0d1b5a,200,"2020-11 Cumulative Update for Windows 10 Version 2004 for ARM64-based Systems (KB4586781)",4586781,,True,11/10/2020 18:00:06,Superseded
75143eba-5e40-4a99-88bb-94063e012544,200,"2020-12 Servicing Stack Update for Windows 10 Version 20H2 for ARM64-based Systems (KB4593175)",4593175,,True,12/08/2020 18:00:06,Superseded
3798fb24-78f4-4e02-98e2-0b8c13f2bf59,200,"2020-11 Servicing Stack Update for Windows 10 Version 20H2 for ARM64-based Systems (KB4586864)",4586864,,True,11/10/2020 18:00:06,Superseded
639cae64-91b2-444e-9810-50ef1637c7e2,200,"2020-12 Cumulative Update for Windows 10 Version 1903 for x64-based Systems (KB4592449)",4592449,,True,12/08/2020 18:00:06,Windows 10 Version: 1903
89f5e290-883b-4eda-a95f-5193ef3e6125,200,"2020-12 Cumulative Update for Windows 10 Version 1909 for x64-based Systems (KB4592449)",4592449,,True,12/08/2020 18:00:06,Superseded
5eb0f7af-07fe-425d-8568-dc0d4c753a73,200,"2020-11 Servicing Stack Update for Windows 10 Version 2004 for ARM64-based Systems (KB4586864)",4586864,,True,11/10/2020 18:00:06,Superseded
294320ec-d717-49e1-b633-498ea5f26afe,201,"2020-11 Cumulative Update for Windows 10 Version 1909 for ARM64-based Systems (KB4586786)",4586786,,True,11/10/2020 18:00:06,Superseded
d0d36236-5587-494f-85d5-26a519ea7f99,201,"Feature update to Windows 10 (business editions), version 20H2, en-us x64",3012973,,True,12/03/2020 18:00:00,Windows 10 Edition
1a3c0fcd-515c-4936-93af-e3ac47a524e1,201,"Feature update to Windows 10 (business editions), version 20H2, en-us x86",3012973,,True,12/03/2020 18:00:00,Windows 10 Edition
a4a468fa-7af2-49cb-988e-f275e26bb6e4,200,"2020-12 Servicing Stack Update for Windows 10 Version 2004 for x64-based Systems (KB4593175)",4593175,,True,12/08/2020 18:00:06,Superseded
20314e1f-9ed1-458d-815d-a873cfa0b875,200,"2020-11 Servicing Stack Update for Windows 10 Version 2004 for x86-based Systems (KB4586864)",4586864,,True,11/10/2020 18:00:06,Superseded
ebaf7db7-9c15-4024-b4fb-4d9dcf27797f,200,"2020-12 Cumulative Update for Windows 10 Version 1909 for ARM64-based Systems (KB4592449)",4592449,,True,12/08/2020 18:00:06,Superseded
e984ae02-36b4-4655-abe8-4c7b04ffa0cc,201,"Feature update to Windows 10 (consumer editions), version 20H2, en-us x64",3012973,,True,12/03/2020 18:00:00,Windows 10 Edition
3baefdcc-2d3a-49c5-ae12-6d40ce0fbdaa,200,"2020-11 Cumulative Update for Windows 10 Version 1909 for x86-based Systems (KB4586786)",4586786,,True,11/10/2020 18:00:06,Superseded
e87d5ca2-ee15-47d1-96f7-ae97b8d08d25,201,"Feature update to Windows 10 (business editions), version 20H2, en-gb x86",3012973,,True,12/03/2020 18:00:00,Windows 10 Edition
f2ed57b7-5182-42eb-bcba-da62ece0de9d,200,"2020-11 Servicing Stack Update for Windows 10 Version 1909 for x64-based Systems (KB4586863)",4586863,,True,11/10/2020 18:00:06,Superseded
dd71c9f6-4996-49ac-abaa-4e5d9c4084a1,200,"2020-11 Cumulative Update for Windows 10 Version 20H2 for ARM64-based Systems (KB4586781)",4586781,,True,11/10/2020 18:00:06,Superseded
de8b7fae-b471-4728-8f60-bb3131ecfdd8,200,"2020-11 Servicing Stack Update for Windows 10 Version 1903 for x64-based Systems (KB4586863)",4586863,,True,11/10/2020 18:00:06,Windows 10 Version: 1903
d60f79c8-b7c5-4230-a32c-214b83fd51a2,200,"2020-11 Servicing Stack Update for Windows 10 Version 20H2 for x64-based Systems (KB4586864)",4586864,,True,11/10/2020 18:00:06,Superseded
cd83dd1a-acaa-4b6a-9d49-079aea38aca2,200,"2020-11 Servicing Stack Update for Windows 10 Version 20H2 for x86-based Systems (KB4586864)",4586864,,True,11/10/2020 18:00:06,Superseded
